Vds,Vg=1,Vg=1.5,Vg=2,Vg=2.5,Vg=3,Vg=3.5,Vg=4,Vg=4.5,Vg=5,Vg=5.5,Vg=6,Vg=6.5,Vg=7,Vg=7.5,Vg=8
4.6000000000000005,0.142151,0.24079799999999998,0.380296,0.551149,0.75056,0.976179,1.2257,1.4903099999999998,1.7481,1.9809099999999997,2.19338,2.3823999999999996,2.5662599999999998,2.7472299999999996,2.90285
4.7,0.142917,0.24278,0.382274,0.553269,0.752821,0.9785900000000001,1.2285499999999998,1.49531,1.76141,2.00265,2.22214,2.41716,2.60631,2.7928900000000003,2.95291
4.800000000000001,0.14487,0.244687,0.384376,0.5551090000000001,0.7550169999999999,0.9810439999999999,1.23127,1.49971,1.77336,2.02352,2.24996,2.45104,2.64569,2.8377,3.00243
4.9,0.146953,0.246682,0.386351,0.557111,0.757219,0.983416,1.23401,1.50334,1.78331,2.04254,2.27624,2.4837599999999997,2.68396,2.8815199999999996,3.0508100000000002
5.0,0.148004,0.24882399999999996,0.388173,0.559269,0.75938,0.985755,1.23665,1.50688,1.7914700000000001,2.06012,2.30125,2.51566,2.72149,2.9246,3.09859
5.1000000000000005,0.14982499999999999,0.250767,0.39015700000000003,0.561251,0.761516,0.9880379999999999,1.23916,1.51009,1.7982,2.07634,2.3251299999999997,2.54631,2.75742,2.96664,3.14548
5.2,0.15168700000000002,0.252826,0.392115,0.5633809999999999,0.763718,0.9904029999999999,1.24178,1.51308,1.80364,2.09112,2.34775,2.57603,2.79304,3.00806,3.19164
5.300000000000001,0.15342399999999998,0.254718,0.39411300000000005,0.5653480000000001,0.765844,0.992688,1.24434,1.5160900000000002,1.8080500000000002,2.10392,2.36896,2.60442,2.82719,3.0480799999999997,3.23663
5.4,0.155273,0.256653,0.396088,0.567437,0.767948,0.9949449999999999,1.2468299999999999,1.51893,1.81196,2.11509,2.38873,2.63144,2.86038,3.0875500000000002,3.28096
5.5,0.157041,0.25856799999999996,0.39802899999999997,0.569421,0.770065,0.9972099999999999,1.24924,1.52172,1.81551,2.12437,2.4070099999999996,2.65727,2.89245,3.12575,3.3241199999999997
5.6000000000000005,0.15887400000000002,0.260485,0.400009,0.571423,0.772139,0.999399,1.25164,1.5245,1.81894,2.1322,2.42369,2.68186,2.92332,3.16306,3.36639
5.7,0.160743,0.26238599999999995,0.40200400000000003,0.573367,0.7741309999999999,1.0032400000000001,1.25407,1.52725,1.82222,2.13852,2.43892,2.70534,2.9533,3.1992700000000003,3.4079800000000002
5.800000000000001,0.16258799999999998,0.264316,0.40410199999999996,0.575336,0.776406,1.00549,1.25636,1.52991,1.82524,2.1436699999999997,2.45247,2.72723,2.98208,3.23448,3.44833
5.9,0.164442,0.266298,0.406154,0.577394,0.778531,1.00765,1.2588199999999998,1.53245,1.82817,2.1481,2.46455,2.74788,3.00964,3.26862,3.48804
6.0,0.166174,0.268212,0.408063,0.579462,0.780681,1.0098500000000001,1.26115,1.535,1.831,2.15197,2.47491,2.76694,3.03602,3.30168,3.52643
6.1000000000000005,0.16798,0.270144,0.410094,0.581519,0.782704,1.01197,1.2635299999999998,1.5376,1.83386,2.15586,2.4837000000000002,2.78461,3.0609800000000003,3.33384,3.5641000000000003
6.2,0.16966,0.27206600000000003,0.41212699999999997,0.5835210000000001,0.784798,1.01422,1.26582,1.54014,1.83665,2.15922,2.4909899999999996,2.80086,3.08487,3.36463,3.6005
6.300000000000001,0.171621,0.273957,0.414135,0.585557,0.786942,1.01642,1.26811,1.54251,1.8394,2.16262,2.49691,2.816,3.10751,3.39441,3.63611
6.4,0.173627,0.27587500000000004,0.41616400000000003,0.587514,0.7889579999999999,1.01861,1.2703,1.54491,1.8420800000000002,2.16576,2.5017799999999997,2.82905,3.12845,3.42288,3.67022
6.5,0.175319,0.27777,0.418166,0.589573,0.791156,1.0208000000000002,1.27259,1.5473299999999999,1.84476,2.16888,2.50618,2.84041,3.14801,3.4499600000000004,3.70377
6.6000000000000005,0.177198,0.279712,0.42025500000000005,0.591643,0.79324,1.0230700000000001,1.27488,1.54977,1.8474599999999999,2.1718599999999997,2.51018,2.85018,3.16611,3.47589,3.7359099999999996
6.7,0.17898999999999998,0.28164599999999995,0.42216699999999996,0.593839,0.7953669999999999,1.02525,1.27717,1.55223,1.85031,2.1748700000000003,2.51378,2.85856,3.1828600000000002,3.50054,3.7670500000000002
6.800000000000001,0.181388,0.283557,0.42417900000000003,0.59607,0.7974640000000001,1.02754,1.2792999999999999,1.55458,1.8528200000000001,2.17778,2.51737,2.8654599999999997,3.19775,3.5240699999999996,3.79717
6.9,0.18488200000000002,0.28551,0.426233,0.598088,0.7996260000000001,1.02972,1.2815999999999999,1.55691,1.85544,2.18065,2.52066,2.8710799999999996,3.21131,3.54639,3.82582
7.0,0.186763,0.287448,0.428269,0.6001869999999999,0.801829,1.03189,1.28384,1.5592,1.85798,2.18344,2.52397,2.87579,3.22308,3.56697,3.85331
7.1000000000000005,0.188548,0.289368,0.430362,0.602387,0.804011,1.03413,1.2862399999999998,1.56164,1.86033,2.18613,2.52707,2.88011,3.23318,3.58624,3.87948
7.2,0.190576,0.291323,0.432566,0.604426,0.806224,1.03646,1.28849,1.5639399999999999,1.86287,2.18882,2.5301400000000003,2.88429,3.24208,3.60406,3.90448
7.300000000000001,0.19218100000000002,0.293276,0.434541,0.606459,0.808431,1.03868,1.2908,1.5663,1.86524,2.1916599999999997,2.53307,2.88798,3.2494099999999997,3.62042,3.9282500000000002
7.4,0.193857,0.295246,0.436696,0.608983,0.8107449999999999,1.0410599999999999,1.29305,1.56862,1.86771,2.1943,2.53603,2.8914600000000004,3.25554,3.63529,3.95056
7.5,0.19521799999999997,0.297375,0.43872300000000003,0.611081,0.813121,1.04345,1.29539,1.57098,1.87015,2.19681,2.53907,2.8949599999999998,3.2606900000000003,3.6484400000000003,3.9714599999999995
7.6000000000000005,0.196958,0.29950400000000005,0.44081699999999996,0.6133230000000001,0.815557,1.04586,1.2978,1.57335,1.87261,2.1995299999999998,2.54197,2.89828,3.2651999999999997,3.6603,3.99095
7.7,0.19878300000000002,0.30156,0.443142,0.615645,0.817945,1.04831,1.3002,1.57565,1.8750399999999998,2.2022299999999997,2.54479,2.9015299999999997,3.26934,3.67033,4.009
7.800000000000001,0.201209,0.30352500000000004,0.44519200000000003,0.617891,0.820327,1.05078,1.3027,1.57823,1.87737,2.2048300000000003,2.54768,2.90477,3.27326,3.68013,4.025639999999999
7.9,0.20363,0.30528700000000003,0.447364,0.620268,0.822756,1.05326,1.30516,1.58073,1.87981,2.20742,2.55051,2.90787,3.2767299999999997,3.6897599999999997,4.04089
8.0,0.206315,0.306977,0.449591,0.622846,0.825208,1.0559,1.30773,1.5831899999999999,1.88226,2.20988,2.55326,2.91085,3.28006,3.69563,4.05443
