vd[undefined],MNMOS_1:drain:I(Vg=1)[Amps],MNMOS_1:drain:I(Vg=2)[Amps],MNMOS_1:drain:I(Vg=3)[Amps],MNMOS_1:drain:I(Vg=4)[Amps],MNMOS_1:drain:I(Vg=5)[Amps],MNMOS_1:drain:I(Vg=6)[Amps],MNMOS_1:drain:I(Vg=7)[Amps],MNMOS_1:drain:I(Vg=8)[Amps]
 5.70000000000e+000, 1.82286524221e-004, 8.63711704421e-004, 1.84607345629e-003, 3.00153186313e-003, 4.25932656019e-003, 5.57929258005e-003, 6.93791698267e-003, 8.30219976631e-003
 5.80000000000e+000, 1.82527735308e-004, 8.64966432258e-004, 1.84900319285e-003, 3.00647416864e-003, 4.26639253513e-003, 5.58846221447e-003, 6.94910016560e-003, 8.32460143769e-003
 5.90000000000e+000, 1.82769343475e-004, 8.66223466130e-004, 1.85193830108e-003, 3.01142528199e-003, 4.27347068556e-003, 5.59764714024e-003, 6.96030144602e-003, 8.34384678172e-003
 6.00000000000e+000, 1.83011349595e-004, 8.67482812878e-004, 1.85487880053e-003, 3.01638523941e-003, 4.28056106493e-003, 5.60684742632e-003, 6.97152090559e-003, 8.35997691990e-003
 6.10000000000e+000, 1.83253754544e-004, 8.68744479366e-004, 1.85782471085e-003, 3.02135407724e-003, 4.28766372682e-003, 5.61606314180e-003, 6.98275862611e-003, 8.37345743773e-003
 6.20000000000e+000, 1.83496559201e-004, 8.70008472483e-004, 1.86077605170e-003, 3.02633183192e-003, 4.29477872495e-003, 5.62529435592e-003, 6.99401468956e-003, 8.38661295762e-003
 6.30000000000e+000, 1.83739764447e-004, 8.71274799142e-004, 1.86373284285e-003, 3.03131853998e-003, 4.30190611315e-003, 5.63454113806e-003, 7.00528917805e-003, 8.39978943346e-003
 6.40000000000e+000, 1.83983371166e-004, 8.72543466282e-004, 1.86669510411e-003, 3.03631423806e-003, 4.30904594537e-003, 5.64380355774e-003, 7.01658217383e-003, 8.41298695721e-003
 6.50000000000e+000, 1.84227380245e-004, 8.73814480865e-004, 1.86966285537e-003, 3.04131896289e-003, 4.31619827571e-003, 5.65308168461e-003, 7.02789375935e-003, 8.42620562102e-003
 6.60000000000e+000, 1.84471792571e-004, 8.75087849881e-004, 1.87263611657e-003, 3.04633275133e-003, 4.32336315837e-003, 5.66237558851e-003, 7.03922401720e-003, 8.43944551721e-003
 6.70000000000e+000, 1.84716609038e-004, 8.76363580343e-004, 1.87561490774e-003, 3.05135564032e-003, 4.33054064771e-003, 5.67168533938e-003, 7.05057303012e-003, 8.45270673825e-003
 6.80000000000e+000, 1.84961830539e-004, 8.77641679289e-004, 1.87859924896e-003, 3.05638766691e-003, 4.33773079821e-003, 5.68101100735e-003, 7.06194088105e-003, 8.46598937683e-003
 6.90000000000e+000, 1.85207457971e-004, 8.78922153785e-004, 1.88158916036e-003, 3.06142886827e-003, 4.34493366449e-003, 5.69035266269e-003, 7.07332765306e-003, 8.47929352579e-003
 7.00000000000e+000, 1.85453492233e-004, 8.80205010919e-004, 1.88458466219e-003, 3.06647928166e-003, 4.35214930130e-003, 5.69971037582e-003, 7.08473342943e-003, 8.49261927817e-003
 7.10000000000e+000, 1.85699934228e-004, 8.81490257807e-004, 1.88758577471e-003, 3.07153894447e-003, 4.35937776353e-003, 5.70908421734e-003, 7.09615829360e-003, 8.50596672721e-003
 7.20000000000e+000, 1.85946784859e-004, 8.82777901590e-004, 1.89059251828e-003, 3.07660789417e-003, 4.36661910623e-003, 5.71847425800e-003, 7.10760232918e-003, 8.51933596632e-003
 7.30000000000e+000, 1.86194045034e-004, 8.84067949436e-004, 1.89360491334e-003, 3.08168616838e-003, 4.37387338457e-003, 5.72788056872e-003, 7.11906561997e-003, 8.53272708911e-003
 7.40000000000e+000, 1.86441715663e-004, 8.85360408538e-004, 1.89662298037e-003, 3.08677380480e-003, 4.38114065387e-003, 5.73730322057e-003, 7.13054824996e-003, 8.54614018940e-003
 7.50000000000e+000, 1.86689797658e-004, 8.86655286116e-004, 1.89964673993e-003, 3.09187084126e-003, 4.38842096960e-003, 5.74674228481e-003, 7.14205030331e-003, 8.55957536119e-003
 7.60000000000e+000, 1.86938291936e-004, 8.87952589414e-004, 1.90267621267e-003, 3.09697731570e-003, 4.39571438738e-003, 5.75619783287e-003, 7.15357186439e-003, 8.57303269870e-003
 7.70000000000e+000, 1.87187199413e-004, 8.89252325707e-004, 1.90571141929e-003, 3.10209326617e-003, 4.40302096297e-003, 5.76566993634e-003, 7.16511301775e-003, 8.58651229636e-003
 7.80000000000e+000, 1.87436521010e-004, 8.90554502292e-004, 1.90875238057e-003, 3.10721873085e-003, 4.41034075229e-003, 5.77515866699e-003, 7.17667384812e-003, 8.60001424879e-003
 7.90000000000e+000, 1.87686257650e-004, 8.91859126495e-004, 1.91179911736e-003, 3.11235374802e-003, 4.41767381141e-003, 5.78466409678e-003, 7.18825444046e-003, 8.61353865084e-003
 8.00000000000e+000, 1.87936410261e-004, 8.93166205669e-004, 1.91485165058e-003, 3.11749835611e-003, 4.42502019655e-003, 5.79418629784e-003, 7.19985487990e-003, 8.62708559756e-003
