vdd	Id(Mnmos@1)
Step Information: Vin=1  (Run: 1/8)
6.299999999999994e+000	1.529736e-003
6.399999999999993e+000	1.529801e-003
6.499999999999993e+000	1.529867e-003
6.599999999999993e+000	1.529932e-003
6.699999999999992e+000	1.529998e-003
6.799999999999992e+000	1.530063e-003
6.899999999999992e+000	1.530129e-003
6.999999999999991e+000	1.530194e-003
7.099999999999991e+000	1.530260e-003
7.199999999999990e+000	1.530326e-003
7.299999999999990e+000	1.530391e-003
7.399999999999990e+000	1.530457e-003
7.499999999999989e+000	1.530522e-003
7.599999999999989e+000	1.530588e-003
7.699999999999989e+000	1.530653e-003
7.799999999999988e+000	1.530719e-003
7.899999999999988e+000	1.530784e-003
8.000000000000000e+000	1.530850e-003
Step Information: Vin=3  (Run: 3/8)
